Report generated on: 04-21-2023 18:23:46
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-AUT-BDOLPPP.A","        Austria","212.6995","212.4143","216.4732","222.4102","223.2514","228.275","233.6819","237.5058","248.0836","258.3677","269.2113","278.1501","283.5888","285.8801","292.859","302.1895","309.0508","315.8468","326.967","338.3027","350.242","354.6647","360.7382","364.2232","373.4613","382.3186","395.8642","410.3981","416.8745","401.0067","408.1568","420.5425","423.6316","423.5604","426.9489","431.0817","439.6713","449.9125","460.7493","467.6592","437.0328","457.6869","480.4795"
"INTL.4701-34-AZE-BDOLPPP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","42.90093","32.99066","26.50638","23.37863","23.68255","25.05613","27.56175","29.60132","32.88707","36.14289","39.51784","43.52988","47.53752","60.59282","81.51037","102.2734","113.0519","123.4629","129.6728","127.9882","130.7856","138.3407","142.2519","144.146","139.7782","140.0229","142.0891","145.7014","140.3407","147.0813","154.1697"
"INTL.4701-34-BHR-BDOLPPP.A","        Bahrain","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","17.31205","17.34941","18.14101","20.15219","21.52318","24.31721","24.2533","25.15883","26.18914","27.02316","28.32998","29.53422","31.10566","31.88049","32.94802","35.02257","37.46748","40.00366","42.5907","46.12315","49.00209","50.24699","52.42609","53.46597","55.45929","58.46343","61.00676","62.52301","64.74766","67.52638","68.95142","70.44571","67.17381","68.96709","71.86447"
"INTL.4701-34-BGD-BDOLPPP.A","        Bangladesh","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","177.5689","182.1244","194.2384","200.7211","210.8389","220.4721","229.4903","240.7879","251.9222","263.2332","276.8608","289.7908","305.1303","320.6224","332.9124","348.691","366.9608","390.9451","417.0287","446.4649","473.3142","497.1936","524.8962","558.8275","595.2712","631.0684","669.3182","713.1759","763.908","814.2516","873.85","942.726","975.2314","1042.9","1116.944"
"INTL.4701-34-BRB-BDOLPPP.A","        Barbados","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","3.652644","3.78418","3.659304","3.516112","3.270521","3.310481","3.435774","3.505289","3.644318","3.817064","3.95984","3.972744","4.149653","4.051417","4.083468","4.17213","4.230822","4.398573","4.647907","4.750256","4.78341","4.54061","4.436743","4.406207","4.387142","4.323642","4.320017","4.426","4.537663","4.557536","4.530599","4.472104","3.685014","3.739227","4.131022"
"INTL.4701-34-BLR-BDOLPPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","8.998028","8.347343","64.91012","58.15159","59.7806","66.59522","72.1899","74.64471","78.97416","82.70582","86.87854","92.99757","103.6455","113.4305","124.7714","135.5607","149.4534","149.6975","161.3268","170.6168","173.5631","175.2364","178.0072","171.204","166.8678","170.9577","176.4271","178.9363","177.2342","181.8783","173.3607"
"INTL.4701-34-BEL-BDOLPPP.A","        Belgium","267.9961","268.3881","269.9461","271.0186","276.7159","281.8278","287.0511","293.8636","307.2803","318.3978","328.236","334.1465","338.5958","336.2506","347.3188","357.8923","362.6059","376.363","383.7498","397.3443","412.1416","416.6452","423.7543","428.1529","443.4391","453.7566","465.3418","482.431","484.5778","474.7991","488.3986","496.6756","500.3465","502.6446","510.5802","521.0027","527.6019","536.1464","545.7599","557.9879","528.0719","560.4647","578.0652"
"INTL.4701-34-BLZ-BDOLPPP.A","        Belize","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","7.54508e-7","7.54508e-7","1.152511","1.284625","1.439149","1.529463","1.531878","1.541762","1.558059","1.613968","1.676743","1.827343","2.065164","2.168758","2.279746","2.492441","2.608259","2.669902","2.787605","2.879504","2.835516","2.822991","2.858378","2.855058","2.965141","3.099519","3.226125","3.335001","3.338924","3.281732","3.318552","3.467643","3.003243","3.459947","3.698093"
"INTL.4701-34-BEN-BDOLPPP.A","        Benin","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","10.02388","9.737775","10.61185","11.06029","11.38742","12.05201","12.29551","13.0388","13.60263","14.3827","14.9524","15.75107","16.67373","17.56296","18.37841","19.01129","19.85343","20.19355","20.98993","22.24646","23.33578","23.877","24.38178","25.10439","26.31222","28.20445","29.99759","30.531","31.55063","33.34004","35.57291","38.01524","39.47826","42.30322","44.83859"
"INTL.4701-34-BMU-BDOLPPP.A","        Bermuda","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","4.411799","4.417313","4.300426","4.311669","4.194146","4.295759","4.363644","4.599115","4.777309","4.99734","5.192727","5.368751","5.528934","5.928193","5.840586","6.039791","6.1822","6.285714","6.575246","7.009783","7.315299","7.099293","7.140661","6.873406","6.50875","6.490544","6.250325","6.298799","6.257402","6.483385","6.455325","6.485009","6.532992","6.542134","6.589741"
"INTL.4701-34-BTN-BDOLPPP.A","        Bhutan","0.5377173","0.6190322","0.6403254","0.7071177","0.7393389","0.7691231","0.8567441","1.105664","1.158375","1.243581","1.372704","1.367105","1.430004","1.458409","1.530621","1.6389","1.730108","1.82308","1.930898","2.08506","2.155016","2.334938","2.5916","2.794348","2.962254","3.178121","3.400581","4.024956","4.218133","4.502786","5.040685","5.443063","5.72166","5.842958","6.180477","6.590998","7.126651","7.458171","7.686027","8.128372","7.309329","7.608639","7.977818"
"INTL.4701-34-BOL-BDOLPPP.A","        Bolivia","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","6.158209e-7","6.158209e-7","28.16197","29.63796","30.14873","31.43353","32.90595","34.43316","35.92347","37.69129","39.58254","39.73899","40.73034","41.43154","42.48074","43.63153","45.45039","47.43288","49.69368","51.93987","55.14487","57.0007","59.34156","62.4528","65.6518","70.1234","73.96021","77.543","80.87176","84.25058","87.84377","89.82499","85.95235","91.08847","93.39648"
"INTL.4701-34-BIH-BDOLPPP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","7.086323","6.931746","7.703385","9.305689","14.3493","19.60706","22.86504","25.15154","26.53488","27.45397","28.76257","30.09794","31.58592","32.80775","35.46376","37.91555","39.42343","38.07953","37.75639","38.45799","38.44857","39.14286","39.5725","41.195","42.7338","44.36264","45.84728","47.11117","45.62429","49.0855","50.22083"
"INTL.4701-34-BWA-BDOLPPP.A","        Botswana","4.515199","4.924497","5.523588","6.249758","6.783825","7.267191","7.861133","8.795188","10.50585","11.87785","12.68232","13.62825","14.02579","14.29455","14.55794","15.78665","16.16389","17.32078","17.04403","18.43992","19.17745","19.64462","21.08491","22.22707","22.53321","23.69022","25.1687","26.62238","27.48654","23.59267","25.96768","27.71491","27.663","30.72695","32.4745","30.89893","33.13879","34.51049","35.95983","37.05418","33.84328","37.81977","40.18732"
"INTL.4701-34-BRA-BDOLPPP.A","        Brazil","1305.137","1247.867","1255.121","1212.401","1277.496","1378.903","1494.843","1544.606","1540.735","1590.556","1532.767","1548.764","1540.164","1615.787","1710.125","1782.494","1816.596","1884.133","1890.767","1899.752","1980.86","2011.124","2071.87","2095.962","2209.648","2289.619","2380.274","2522.109","2642.602","2646.833","2846.858","2963.375","3011.061","3107.759","3124.048","3013.552","2908.01","2955.2","3004.961","3041.563","2932.7","3088.705","3181.24"
