Report generated on: 04-21-2023 18:23:46
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-CRI-BDOLPPP.A","        Costa Rica","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","25.23808","26.55315","27.47654","28.29132","30.89443","33.08707","34.58228","36.01881","36.50523","38.50432","41.25942","42.99843","44.66192","46.22114","47.80046","49.86409","52.07038","54.14104","58.10779","62.88143","65.86085","65.28559","68.78512","71.81384","75.32022","77.19928","79.93377","82.85301","86.33642","89.92603","92.27841","94.50924","90.47053","97.51119","101.7339"
"INTL.4701-34-CIV-BDOLPPP.A","        Cote d’Ivoire","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","54.77543","56.39021","55.77223","55.79505","55.73841","55.50982","56.67583","60.70172","64.27996","67.95946","71.3076","72.46359","70.96723","71.05445","69.86738","68.91392","69.7591","70.9597","72.03548","73.30677","75.17108","77.61539","79.18143","75.85735","83.52063","91.26362","99.28934","108.069","115.8361","124.3611","132.9302","141.2141","143.9687","154.6502","163.912"
"INTL.4701-34-HRV-BDOLPPP.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","62.18546","57.21062","60.58605","65.19574","69.15291","73.44027","75.13134","74.51234","76.71126","79.06359","83.62503","88.28831","91.97942","95.89692","100.6085","105.5604","107.6348","99.90284","98.71011","98.66894","96.43838","96.06138","95.64213","97.97821","101.5198","104.9522","107.8813","111.6372","102.4326","115.4085","122.7525"
"INTL.4701-34-CUB-BDOLPPP.A","        Cuba","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","88.37249","88.9735","86.35005","77.1169","68.18631","58.04143","58.45755","59.89396","64.58891","66.38136","66.48866","70.60482","74.78145","77.16326","78.26322","81.23205","85.9193","95.54209","107.0717","114.8458","119.5754","121.3103","124.21","127.6908","131.5405","135.1547","136.5706","142.6318","143.3646","145.9581","149.2399","148.9939","132.6816","134.4356","138.2469"
"INTL.4701-34-CYP-BDOLPPP.A","        Cyprus","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","17.15655","17.37078","17.82961","18.91908","19.86469","21.04963","21.88129","22.69596","23.29143","24.46224","25.64959","26.85844","28.22739","29.25734","28.66757","29.32153","29.4436","28.42854","26.55596","26.08436","26.976","28.74965","30.39778","32.11506","33.89036","32.40911","34.56026","36.50665"
"INTL.4701-34-CZE-BDOLPPP.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","203.3762","207.8901","220.3134","229.4762","228.243","227.4477","230.2885","240.1805","247.4627","251.1752","260.1589","272.3396","290.5057","310.6259","327.8904","336.186","320.9647","328.3358","334.1091","331.7139","331.5762","339.072","357.5847","366.3515","385.9304","398.3061","410.1197","387.4889","401.0359","410.826"
"INTL.4701-34-DNK-BDOLPPP.A","        Denmark","151.3587","150.0079","154.5313","158.4215","165.3784","172.4634","178.7568","179.2739","185.1757","185.4614","186.2302","188.6607","192.3527","192.3735","202.6316","208.7665","214.8209","221.8261","226.7465","233.4309","242.1775","244.1708","245.3096","246.2663","252.8373","258.7452","268.8698","271.3145","269.9255","256.6814","261.4837","264.9793","265.5794","268.0582","272.3992","278.7805","287.8294","295.9512","301.8392","306.3473","300.2368","314.8155","326.2293"
"INTL.4701-34-DJI-BDOLPPP.A","        Djibouti","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","2.742289","2.620082","2.634805","2.45693","2.423506","2.339149","2.251844","2.224474","2.227005","2.292013","2.308363","2.349755","2.425751","2.503045","2.572595","2.652634","2.780626","2.920109","3.089643","3.139587","3.269794","3.50825","3.678124","3.862062","4.134784","4.445972","4.762678","5.022629","5.26243","5.554238","5.621001","5.863248","6.038007"
"INTL.4701-34-DMA-BDOLPPP.A","        Dominica","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.4870998","0.4861663","0.5125092","0.5194166","0.5299577","0.5414124","0.5415991","0.5580142","0.575336","0.5879107","0.6100999","0.6122601","0.6265883","0.6261882","0.6084797","0.6471372","0.6668794","0.6712532","0.7025297","0.7471612","0.8003671","0.7910063","0.7963265","0.7945466","0.7861324","0.7782711","0.8128887","0.793","0.8149158","0.7597359","0.7879725","0.8313304","0.6978427","0.6714605","0.7274171"
"INTL.4701-34-DOM-BDOLPPP.A","        Dominican Republic","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","41.57287","43.4023","41.035","41.42275","45.77759","49.08393","50.21446","52.97306","56.75075","61.29325","65.59027","69.99488","73.95424","75.29223","79.65031","79.44848","80.4908","87.94646","97.33141","105.5799","108.9585","109.9879","119.147","122.895","126.2472","132.3972","141.741","151.56","161.6428","169.1918","181.0167","190.1494","177.3478","199.1236","209.4018"
"INTL.4701-34-ECU-BDOLPPP.A","        Ecuador","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","76.17893","76.40747","78.69969","82.78595","84.03973","84.28952","88.25434","89.79739","91.95434","95.67936","97.70355","91.54875","96.39834","100.2693","104.3771","107.2192","116.023","122.1621","127.5416","130.3348","138.6204","139.4056","144.3201","155.6754","164.4586","172.5935","179.1329","179.31","177.111","181.3056","183.6432","183.6654","169.3623","176.5352","181.674"
"INTL.4701-34-EGY-BDOLPPP.A","        Egypt","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","340.2739","357.0183","377.2506","381.4962","398.56","410.1215","426.4162","446.2124","468.4728","494.2029","521.7572","553.3414","588.5894","609.3975","623.9633","643.8893","670.2378","700.209","747.2424","797.1559","844.8066","883.6458","931.8901","934.0773","961.824","996.4762","1047.97","1091.84","1133.772","1170.831","1234.198","1303.534","1322.282","1416.645","1469.464"
"INTL.4701-34-SLV-BDOLPPP.A","        El Salvador","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","21.24585","21.42889","25.99736","26.38689","28.2395","29.88208","31.28414","32.7648","33.03231","34.06829","34.97173","35.72848","36.1309","36.44767","37.02262","37.6022","37.93657","38.96434","40.65623","41.41296","42.2941","41.41179","42.28354","43.89681","45.13223","46.14127","46.93085","48.05601","49.2774","50.38616","51.60283","52.85938","48.53825","53.52231","54.45834"
"INTL.4701-34-GNQ-BDOLPPP.A","        Equatorial Guinea","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.3814982","0.3768089","0.3701824","0.3663983","0.4937046","0.5481759","0.6395507","0.751384","1.251655","3.1288","3.872657","4.866537","5.752914","9.399105","11.22844","12.7954","17.65749","20.61488","22.20324","25.59637","30.15229","30.55734","27.83035","29.64598","32.11042","30.78323","30.911","28.095","25.61803","24.16612","22.65899","21.41687","20.50847","20.31459","21.25114"
"INTL.4701-34-ERI-BDOLPPP.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","3.617207","3.701373","4.03945","4.358646","4.444224","4.452517","3.902525","4.244131","4.371704","4.2556","4.317357","4.42852","4.385643","4.448282","3.583682","4.020217","4.456399","5.602083","5.707776","5.111025","6.692009","5.312001","5.7046","5.133434","5.802353","6.024855","5.987095","6.167043","6.333119"
"INTL.4701-34-EST-BDOLPPP.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","17.3789","16.38126","16.11231","17.16442","18.01319","20.36373","21.2476","21.15715","23.29152","24.68985","26.36157","28.36518","30.29524","33.18123","36.4216","39.18204","37.17119","31.73332","32.50928","34.87041","35.99591","36.52078","37.62083","38.38899","39.57188","41.73039","43.33933","44.9024","44.69123","48.26757","47.75125"
"INTL.4701-34-SWZ-BDOLPPP.A","        Eswatini","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","3.254895","3.67514","4.447581","4.525875","4.67189","4.817003","4.932644","5.170677","5.369335","5.535937","5.680095","5.847708","5.950638","6.013401","6.276796","6.520348","6.756641","7.161957","7.591111","7.927807","7.992947","8.11804","8.426018","8.615369","9.080311","9.43092","9.517989","9.730001","9.833394","10.03267","10.27032","10.54799","10.38348","11.20204","11.32197"
"INTL.4701-34-ETH-BDOLPPP.A","        Ethiopia","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","33.42976","33.30906","34.21723","31.77497","29.0193","32.83326","33.88062","35.95666","40.42471","41.69158","40.24982","42.32758","44.89822","48.62537","49.36191","48.29502","54.8499","61.33248","67.9777","75.76533","83.9393","91.32809","102.7903","114.2805","124.1632","137.3025","151.3863","167.1191","182.8842","200.3756","214.0335","231.9355","245.9897","259.8569","269.8295"
"INTL.4701-34-FLK-BDOLPPP.A","        Falkland Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-FRO-BDOLPPP.A","        Faroe Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-FJI-BDOLPPP.A","        Fiji","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","5.073761","5.745571","6.225436","6.059082","6.295814","6.404584","6.731218","6.8995","7.230675","7.071601","7.163531","7.793921","7.661425","7.814654","8.064722","8.145368","8.577073","8.637113","8.797114","8.71794","8.805121","8.681849","8.942303","9.184305","9.313924","9.754865","10.30148","10.782","11.0526","11.65224","12.06185","12.00813","10.1199","8.738862","9.409344"
"INTL.4701-34-FIN-BDOLPPP.A","        Finland","116.3519","117.8351","121.4836","125.2114","128.9524","133.1143","136.7782","141.7303","149.036","157.1087","154.9963","145.8735","141.068","140.1325","145.6829","151.8338","157.4062","167.3004","176.4254","184.1543","194.7558","199.8379","203.2472","207.32","215.5965","221.5865","230.5143","242.7291","244.6365","224.8835","232.046","237.9589","234.6322","232.5176","231.6669","232.9297","239.4785","247.1269","249.9412","253.0001","247.0398","254.5682","259.6315"
"INTL.4701-34-CSK-BDOLPPP.A","        Former Czechoslovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-SCG-BDOLPPP.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-SUN-BDOLPPP.A","        Former U.S.S.R.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-YUG-BDOLPPP.A","        Former Yugoslavia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-FRA-BDOLPPP.A","        France","1448.363","1463.847","1499.736","1518.519","1542.504","1569.059","1604.782","1646.136","1721.685","1799.581","1851.78","1871.922","1899.818","1886.96","1931.558","1975.215","2002.05","2048.804","2122.52","2192.388","2282.636","2326.815","2354.151","2374.03","2434.572","2476.808","2542.178","2602.734","2606.79","2534.129","2580.306","2637.38","2646.936","2665.059","2690.769","2719.145","2745.85","2813.108","2864.419","2918.392","2687.644","2869.589","2944.377"
"INTL.4701-34-GUF-BDOLPPP.A","        French Guiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","NA"
"INTL.4701-34-PYF-BDOLPPP.A","        French Polynesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-GAB-BDOLPPP.A","        Gabon","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","14.32715","15.55145","16.35892","17.35885","16.82244","17.48635","18.13557","19.03761","19.72773","20.85978","21.58525","19.65712","19.28698","19.6988","19.64975","20.09134","20.22988","20.77128","20.18831","21.40125","20.69321","20.72017","22.18921","23.76281","25.01062","26.42089","27.56094","28.63","29.22879","29.36693","29.613","30.77407","30.20851","30.66327","31.54323"
"INTL.4701-34-GMB-BDOLPPP.A","        Gambia, The","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","1.981663","2.098496","2.173179","2.2407","2.316407","2.386179","2.389863","2.410938","2.464546","2.585309","2.675794","2.847045","3.003632","3.177844","3.074564","3.285786","3.517434","3.434713","3.41563","3.519576","3.739759","3.98904","4.224726","3.881237","4.084675","4.202019","4.142879","4.311","4.394779","4.606723","4.940013","5.239219","5.277152","5.502736","5.723269"
"INTL.4701-34-GEO-BDOLPPP.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","20.68924","14.73931","13.1066","13.44759","14.95255","16.52496","17.03849","17.52729","17.84964","18.70707","19.73169","22.19028","23.52301","25.78172","28.17729","31.69559","32.60978","31.34688","35.12394","37.7568","40.27427","41.75141","43.67875","45.036","46.34408","48.57059","50.93291","53.42547","50.02111","54.94633","60.25315"
"INTL.4701-34-DEU-BDOLPPP.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","2863.724","2906.748","2877.825","2948.703","2996.196","3021.694","3078.047","3133.24","3188.035","3287.914","3347.692","3342.129","3318.473","3341.73","3371.812","3506.538","3614.968","3639.784","3434.5","3573.296","3715.878","3738.774","3759.314","3842.439","3890.035","3973.251","4091.816","4132.985","4177.851","4008.098","4111.763","4188.179"
"INTL.4701-34-DDR-BDOLPPP.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-DEUW-BDOLPPP.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-GHA-BDOLPPP.A","        Ghana","0.000004","0.000004","0.000004","0.000004","0.000004","0.000004","0.000004","0.000004","35.54989","37.35779","38.60184","40.64127","42.21764","44.26483","45.72599","47.6059","49.7971","51.88638","54.32571","56.71632","58.81446","61.16738","63.92023","67.24359","71.00894","75.19859","76.46955","79.99355","87.28549","91.41004","98.63214","112.5344","123.5749","137.9053","141.7475","144.9116","149.7961","162.1336","172.1282","183.3895","183.9866","193.7896","199.9817"
"INTL.4701-34-GIB-BDOLPPP.A","        Gibraltar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-GRC-BDOLPPP.A","        Greece","219.503","216.0872","213.6451","211.3414","215.5823","221.0004","222.138","217.1247","226.4348","235.0372","235.0375","242.3281","244.0176","240.1152","244.917","249.2904","256.4997","268.2732","278.6938","286.9587","298.5647","311.0786","323.43","342.196","358.6339","361.4332","381.6095","393.7146","392.7608","375.8369","355.2518","319.3107","296.2087","288.8665","290.528","289.6578","288.2738","291.3259","295.8163","301.2441","275.0079","297.2791","315.3096"
"INTL.4701-34-GRL-BDOLPPP.A","        Greenland","2.50986","2.526557","2.414892","2.498381","2.368971","2.455593","2.629872","2.774935","2.930429","3.125583","2.759278","2.756149","2.615264","2.483769","2.630917","2.729014","2.770758","2.811458","3.029573","3.071314","3.289427","3.331171","3.298821","3.44496","3.682891","3.866573","4.081388","4.177402","4.434985","4.473389","4.551041","4.528444","4.591578","4.531967","4.746877","4.626815","4.84344","4.845993","4.876188","4.98694","5.004721","4.980614","5.069132"
"INTL.4701-34-GRD-BDOLPPP.A","        Grenada","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.698436","0.7408453","0.779364","0.797265","0.7949019","0.7739188","0.7952277","0.8121623","0.8482076","0.8907497","0.995444","1.064113","1.116129","1.093543","1.131092","1.238173","1.23016","1.393406","1.337802","1.419715","1.433189","1.337808","1.331568","1.34178","1.326243","1.357424","1.457088","1.551","1.609001","1.680419","1.753713","1.765576","1.522709","1.603289","1.663995"
"INTL.4701-34-GLP-BDOLPPP.A","        Guadeloupe","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","3.278722","3.66889","3.306037","3.501424","3.571102","6.031591","6.17798","6.263255","6.58228","6.831152","7.060487","7.438422","7.804006","8.116166","8.205444","8.615716","8.693257","9.07576","9.266352","9.507276","9.611856","9.150486","9.617162","9.905677","9.965112","10.03487","10.12518","10.31756","10.28661","10.63635","10.7959","10.87423","10.05951","10.1834","10.49043"
"INTL.4701-34-GUM-BDOLPPP.A","        Guam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.385","3.56","3.857","4.197","4.213","4.375","4.621","4.781","4.895","4.928","5.199","5.336","5.538","5.71","5.795","5.851","5.92","NA","NA","NA","NA"
"INTL.4701-34-GTM-BDOLPPP.A","        Guatemala","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","49.55816","51.25214","53.15266","54.70914","57.12952","59.11012","61.19516","63.82998","65.64249","68.29222","71.42952","74.0668","75.89565","77.74166","80.7264","82.79328","85.39128","88.1887","92.90805","98.79631","102.0502","102.5369","105.4942","109.8869","113.1557","117.3366","122.551","127.566","130.982","135.016","139.6158","145.2037","142.6422","154.0261","160.1868"
"INTL.4701-34-GIN-BDOLPPP.A","        Guinea","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","7.69126","7.999108","8.345039","8.563104","8.843225","9.28929","9.658075","10.10309","10.5538","11.1007","11.50525","11.9438","12.24279","12.69067","13.34607","13.51269","13.82891","14.2434","14.41283","15.39542","16.03173","15.85174","16.61474","17.54718","18.58515","19.31846","20.03258","20.799","23.04958","25.42369","27.04026","28.55908","29.88345","30.81678","32.54316"
"INTL.4701-34-GNB-BDOLPPP.A","        Guinea-Bissau","1.167604","1.379728","1.437678","1.388822","1.515333","1.578469","1.565938","1.61135","1.685473","1.788286","1.897372","1.994138","2.016073","2.05841","2.12428","2.217748","2.475007","2.635882","1.8952","1.914636","2.018543","2.062727","2.042405","2.054017","2.110736","2.200782","2.251606","2.325075","2.399561","2.480401","2.594772","2.804554","2.756521","2.84627","2.873724","3.05","3.241016","3.432858","3.476926","3.633388","3.546187","3.680941","3.77428"
"INTL.4701-34-GUY-BDOLPPP.A","        Guyana","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","2.353536","2.237166","2.169199","2.299017","2.479064","2.68269","2.911344","3.056514","3.297472","3.502805","3.442957","3.545208","3.4964","3.879062","4.253138","4.568397","5.120128","5.446782","6.213084","6.659885","6.776776","7.021521","7.312102","7.692062","8.097917","8.393765","8.535324","8.593998","8.92121","9.254372","9.665351","10.18269","14.61017","17.52159","26.37309"
"INTL.4701-34-HTI-BDOLPPP.A","        Haiti","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","22.72228","22.23986","22.91575","22.55462","22.02223","21.27706","18.70804","20.52134","21.39689","21.97374","22.43972","23.06343","23.28448","23.1999","23.43696","24.27053","23.9265","24.69355","25.1204","26.30537","26.98622","28.59636","26.97579","28.35671","28.48925","29.72604","30.23171","31.002","31.57954","32.35988","32.90436","32.3498","31.2754","30.71283","30.60101"
"INTL.4701-34-HITZ-BDOLPPP.A","        Hawaiian Trade Zone","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-HND-BDOLPPP.A","        Honduras","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","17.12671","17.8164","17.82639","18.44345","19.4961","20.65591","20.41425","21.24491","21.99562","23.10865","23.78244","23.31892","24.66112","25.33278","26.28374","27.47889","29.19148","30.95779","32.99079","35.03237","36.51484","35.62698","36.95616","38.3737","39.95804","41.07351","42.32957","43.95501","45.6662","47.87777","49.71867","51.03773","46.46235","52.28596","54.2186"
"INTL.4701-34-HKG-BDOLPPP.A","        Hong Kong","84.57358","92.34816","95.01381","100.7286","110.8039","111.596","123.9874","140.5961","152.563","156.0368","162.0138","171.2518","181.9293","193.211","204.8731","209.7364","218.6682","229.8197","216.3002","221.7221","238.7137","240.0525","244.0293","251.4878","273.3674","293.5644","314.2096","334.5226","341.6408","333.2395","355.7921","372.9224","379.2631","391.0263","401.8279","411.4225","420.3728","436.3306","448.7523","441.2474","412.3688","438.9581","423.5637"
"INTL.4701-34-HUN-BDOLPPP.A","        Hungary","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165.8583","160.7761","159.8499","164.5609","167.1719","167.2326","172.5517","179.1883","184.4716","193.1179","201.0793","210.6002","218.9521","229.5256","239.5133","249.4097","250.2122","252.3072","235.6579","238.0474","242.5183","239.8835","244.3162","254.3916","263.6729","269.3225","281.3387","296.5432","310.9418","296.1511","317.2126","331.768"
"INTL.4701-34-ISL-BDOLPPP.A","        Iceland","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","8.237972","8.259263","8.355843","8.337165","8.055875","8.16169","8.456233","8.498964","8.88712","9.400051","10.09216","10.49937","11.02277","11.46517","11.52932","11.77635","12.69519","13.4727","14.32377","15.53482","15.87807","14.6612","14.24588","14.50883","14.66315","15.33068","15.58935","16.281","17.30729","18.03333","18.91494","19.37183","18.04635","18.84094","19.99585"
"INTL.4701-34-IND-BDOLPPP.A","        India","927.0436","984.4829","1025.801","1089.972","1139.541","1196.735","1255.149","1308.185","1414.719","1510.764","1597.19","1630.673","1703.286","1784.54","1895.429","2036.367","2188.786","2292.616","2427.432","2627.079","2779.899","2876.449","3008.867","3202.75","3452.771","3726.931","4031.06","4352.616","4575.842","4786.608","5222.77","5583.087","5866.966","6227.65","6663.93","7163.962","7807.747","8281.69","8882.776","9293.038","8702.243","9504.213","10159.56"
"INTL.4701-34-IDN-BDOLPPP.A","        Indonesia","417.9604","449.0493","447.2366","486.9228","523.8034","544.261","583.3856","621.7262","665.1168","725.5401","790.854","861.4641","917.6548","990.6619","1065.357","1152.932","1243.068","1301.49","1130.647","1139.592","1196.328","1239.916","1295.706","1357.646","1425.947","1507.12","1590.026","1690.914","1816.748","1902.166","2023.48","2148.324","2277.869","2404.457","2524.84","2647.959","2781.232","2922.235","3073.44","3227.705","3161.036","3278.091","3452.112"
"INTL.4701-34-IRN-BDOLPPP.A","        Iran","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","388.8694","412.8933","469.4101","528.5289","550.998","542.3152","540.414","554.7485","594.1416","614.2515","631.0852","643.2892","676.3741","701.1936","758.409","819.5281","869.2491","896.9764","941.8237","1018.637","1021.192","1031.479","1091.284","1153.006","1109.801","1092.91","1147.389","1131.04","1230.742","1264.692","1236.188","1219.62","1243.402","1302.087","1334.027"
"INTL.4701-34-IRQ-BDOLPPP.A","        Iraq","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","158.4201","144.3676","144.3921","48.92016","61.46046","91.31305","87.0964","71.1485","106.4656","129.7635","174.9953","205.7635","208.6575","213.4677","198.738","132.9531","204.9591","208.3926","220.1424","224.2999","242.7555","250.959","267.0267","287.1775","327.2012","352.1598","352.8538","369.519","420.4662","412.8151","423.6882","448.9285","378.5677","386.0325","415.7502"
"INTL.4701-34-IRL-BDOLPPP.A","        Ireland","63.18327","64.9342","65.79238","65.87771","68.30988","72.3432","72.59181","75.8066","79.19981","84.12906","95.40161","97.28048","100.5976","103.1942","108.9275","116.6481","124.796","137.8824","150.1865","165.2503","179.3615","188.8124","198.6881","206.733","219.6075","232.83","245.0418","257.9813","246.8252","232.6915","235.2891","240.7684","240.5542","244.3045","264.4145","324.8107","332.1409","363.6721","395.7631","418.0057","441.5996","500.8066","561.7519"
"INTL.4701-34-ISR-BDOLPPP.A","        Israel","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","97.72251","99.10914","105.6833","112.124","120.1466","124.6775","133.4184","142.1604","150.217","156.2518","161.8812","168.1533","182.8837","183.1521","182.6721","185.4971","193.9871","202.839","213.5574","226.4078","233.6311","235.7281","248.8326","262.8207","270.0898","282.0398","293.5952","300.531","313.7013","327.4935","341.6748","355.2398","348.5922","378.9698","403.0652"
"INTL.4701-34-ITA-BDOLPPP.A","        Italy","1511.893","1525.819","1530.782","1551.695","1601.508","1646.981","1695.906","1746.064","1821.144","1884.43","1921.213","1932.029","1945.543","1928.846","1972.855","2031.274","2056.681","2096.904","2131.072","2164.484","2253.059","2292.706","2298.418","2303.768","2331.47","2355.268","2399.839","2431.745","2408.314","2279.96","2318.038","2338.05","2267.512","2225.276","2227.021","2241.419","2273.194","2312.775","2331.086","2342.161","2130.346","2278.717","2365.911"
"INTL.4701-34-JAM-BDOLPPP.A","        Jamaica","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","17.94894","19.17641","20.22308","20.39985","22.50735","22.95015","23.15486","23.39319","23.46658","23.2356","22.95063","23.17756","23.3378","23.63672","23.79624","24.66869","24.99526","25.21867","25.94976","26.32453","26.11086","24.97623","24.61231","25.03818","24.88455","25.01338","25.18593","25.418","25.76757","26.02448","26.51633","26.75295","24.02414","25.11726","25.85515"
"INTL.4701-34-JPN-BDOLPPP.A","        Japan","2642.706","2755.006","2846.819","2946.768","3081.828","3240.4","3349.093","3505.548","3747.028","3926.367","4119.503","4260.11","4298.848","4274.269","4315.896","4428.968","4568.562","4614.919","4554.094","4542.892","4666.32","4685.01","4685.255","4759.038","4861.423","4950.23","5016.825","5090.922","5027.372","4742.1","4936.598","4938.359","5005.898","5108.259","5119.228","5200.859","5238.361","5327.84","5361.612","5340.42","5108.912","5223.006","5275.434"
"INTL.4701-34-JOR-BDOLPPP.A","        Jordan","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","29.9547","31.25938","32.82273","34.77697","35.44046","36.76775","37.94715","39.1748","40.82061","42.85602","45.68116","47.49979","51.44719","55.16179","60.7288","65.81363","71.33359","74.91715","76.65139","78.7495","80.66259","82.76782","85.56875","87.705","89.45401","91.66677","93.42588","95.22653","93.73201","95.82049","97.85406"
